date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:25	28765/28765	---M-Z	200	added ('OK')	text/css	etag:%22705d-601fc504-1615e9;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/aos.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/aos.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:26	58129/58129	---M-Z	200	added ('OK')	text/css	etag:%22e311-601fc504-1615e1;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/animate.min.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/animate.min.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:27	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-601fc509-1615ef;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/magnific-popup.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/magnific-popup.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:29	136308/136308	---M-Z	200	added ('OK')	text/css	etag:%2221474-601fc50e-1615f5;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/style.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/style.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:29	2407/2407	---M--	200	added ('OK')	image/jpeg	etag:%22967-601fc51f-161618;;;%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/img/favicon.jpg	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/img/favicon.jpg	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:30	1150/1150	---M--	200	added ('OK')	image/png	etag:%2247e-601fc51f-161619;;;%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/img/logo.png	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/img/logo.png	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:32	20751/20751	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2010:45:28%20GMT	https://demo.voidcoders.com/htmldemo/hexa/main-files/index-2.html	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/index-2.html	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:33	21401/21401	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2010:45:29%20GMT	https://demo.voidcoders.com/htmldemo/hexa/main-files/index-3.html	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/index-3.html	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:33	13420/13420	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2010:45:23%20GMT	https://demo.voidcoders.com/htmldemo/hexa/main-files/about-us.html	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/about-us.html	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:35	15017/15017	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2010:45:33%20GMT	https://demo.voidcoders.com/htmldemo/hexa/main-files/service.html	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/service.html	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:36	13392/13392	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2010:45:32%20GMT	https://demo.voidcoders.com/htmldemo/hexa/main-files/service-details.html	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/service-details.html	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:37	9101/9101	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2010:45:22%20GMT	https://demo.voidcoders.com/htmldemo/hexa/main-files/404.html	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/404.html	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:38	13880/13880	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2010:45:28%20GMT	https://demo.voidcoders.com/htmldemo/hexa/main-files/faq.html	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/faq.html	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
